countystate,county,price,state,FIPS
"Cleburne County, AR",Cleburne,3.097,AR,05023
"Cleveland County, AR",Cleveland,3.044,AR,05025
"Columbia County, AR",Columbia,3.247,AR,05027
"Conway County, AR",Conway,3.044,AR,05029
"Craighead County, AR",Craighead,3.042,AR,05031
"Crawford County, AR",Crawford,3.008,AR,05033
"Crittenden County, AR",Crittenden,3.175,AR,05035
"Cross County, AR",Cross,3.044,AR,05037
"Dallas County, AR",Dallas,3.044,AR,05039
"Desha County, AR",Desha,3.179,AR,05041
"Drew County, AR",Drew,3.044,AR,05043
"Faulkner County, AR",Faulkner,3.01,AR,05045
"Franklin County, AR",Franklin,3.044,AR,05047
"Fulton County, AR",Fulton,3.044,AR,05049
"Garland County, AR",Garland,3.036,AR,05051
"Grant County, AR",Grant,3.044,AR,05053
"Greene County, AR",Greene,2.987,AR,05055
"Hempstead County, AR",Hempstead,3.144,AR,05057
"Hot Spring County, AR",Hot Spring,2.851,AR,05059
"Howard County, AR",Howard,3.189,AR,05061
"Independence County, AR",Independence,3.081,AR,05063
"Izard County, AR",Izard,3.044,AR,05065
"Jackson County, AR",Jackson,3.044,AR,05067
"Jefferson County, AR",Jefferson,2.966,AR,05069
"Johnson County, AR",Johnson,3.066,AR,05071
"Lafayette County, AR",Lafayette,3.044,AR,05073
"Lawrence County, AR",Lawrence,3.086,AR,05075
"Lee County, AR",Lee,3.044,AR,05077
"Lincoln County, AR",Lincoln,3.044,AR,05079
"Little River County, AR",Little River,3.179,AR,05081
"Logan County, AR",Logan,3.044,AR,05083
"Lonoke County, AR",Lonoke,3.052,AR,05085
"Madison County, AR",Madison,3.044,AR,05087
"Marion County, AR",Marion,3.044,AR,05089
"Miller County, AR",Miller,3.159,AR,05091
"Mississippi County, AR",Mississippi,3.199,AR,05093
"Monroe County, AR",Monroe,3.044,AR,05095
"Montgomery County, AR",Montgomery,3.279,AR,05097
"Nevada County, AR",Nevada,3.144,AR,05099
"Newton County, AR",Newton,3.044,AR,05101
"Ouachita County, AR",Ouachita,3.124,AR,05103
"Perry County, AR",Perry,3.044,AR,05105
"Phillips County, AR",Phillips,3.044,AR,05107
"Pike County, AR",Pike,3.044,AR,05109
"Poinsett County, AR",Poinsett,3.095,AR,05111
"Polk County, AR",Polk,3.069,AR,05113
