countystate,county,price,state,FIPS
"Ada County, ID",Ada,3.783,ID,16003
"Adams County, ID",Adams,3.685,ID,16003
"Bannock County, ID",Bannock,3.722,ID,16005
"Bear Lake County, ID",Bear Lake,3.685,ID,16007
"Benewah County, ID",Benewah,3.685,ID,16009
"Bingham County, ID",Bingham,3.734,ID,16011
"Blaine County, ID",Blaine,3.685,ID,16013
"Boise County, ID",Boise,3.685,ID,16015
"Bonner County, ID",Bonner,3.502,ID,16017
"Bonneville County, ID",Bonneville,3.612,ID,16019
"Boundary County, ID",Boundary,3.685,ID,16021
"Butte County, ID",Butte,3.685,ID,16023
"Camas County, ID",Camas,3.685,ID,16025
"Canyon County, ID",Canyon,3.791,ID,16027
"Caribou County, ID",Caribou,3.685,ID,16029
"Cassia County, ID",Cassia,3.779,ID,16031
"Clark County, ID",Clark,3.685,ID,16033
"Clearwater County, ID",Clearwater,3.685,ID,16035
"Custer County, ID",Custer,3.685,ID,16037
"Elmore County, ID",Elmore,3.819,ID,16039
"Franklin County, ID",Franklin,3.685,ID,16041
"Fremont County, ID",Fremont,3.685,ID,16043
"Gem County, ID",Gem,3.799,ID,16045
"Gooding County, ID",Gooding,3.685,ID,16047
"Idaho County, ID",Idaho,3.685,ID,16049
"Jefferson County, ID",Jefferson,3.609,ID,16051
"Jerome County, ID",Jerome,3.906,ID,16053
"Kootenai County, ID",Kootenai,3.339,ID,16055
"Latah County, ID",Latah,3.679,ID,16057
"Lemhi County, ID",Lemhi,3.464,ID,16059
"Lewis County, ID",Lewis,3.685,ID,16061
"Lincoln County, ID",Lincoln,3.685,ID,16063
"Madison County, ID",Madison,3.617,ID,16065
"Minidoka County, ID",Minidoka,3.761,ID,16067
"Nez Perce County, ID",Nez Perce,3.253,ID,16069
"Oneida County, ID",Oneida,3.632,ID,16071
"Owyhee County, ID",Owyhee,3.685,ID,16073
"Payette County, ID",Payette,3.799,ID,16075
"Power County, ID",Power,3.685,ID,16077
"Shoshone County, ID",Shoshone,3.685,ID,16079
"Teton County, ID",Teton,3.685,ID,16081
"Twin Falls County, ID",Twin Falls,3.823,ID,16083
"Valley County, ID",Valley,3.685,ID,16085
"Washington County, ID",Washington,3.685,ID,16087
"Adams County, IL",Adams,3.558,IL,17001
"Alexander County, IL",Alexander,3.558,IL,17003
"Bond County, IL",Bond,3.474,IL,17005
"Boone County, IL",Boone,3.449,IL,17007
"Brown County, IL",Brown,3.558,IL,17009
"Bureau County, IL",Bureau,3.547,IL,17011
"Calhoun County, IL",Calhoun,3.558,IL,17013
"Carroll County, IL",Carroll,3.558,IL,17015
"Cass County, IL",Cass,3.558,IL,17017
"Champaign County, IL",Champaign,3.429,IL,17019
"Christian County, IL",Christian,3.509,IL,17021
"Clark County, IL",Clark,3.513,IL,17023
"Clay County, IL",Clay,3.558,IL,17025
"Clinton County, IL",Clinton,3.464,IL,17027
"Coles County, IL",Coles,3.481,IL,17029
"Cook County, IL",Cook,3.668,IL,17031
"Crawford County, IL",Crawford,3.469,IL,17033
"Cumberland County, IL",Cumberland,3.558,IL,17035
"DeKalb County, IL",DeKalb,3.545,IL,17037
"De Witt County, IL",De Witt,3.558,IL,17039
"Douglas County, IL",Douglas,3.372,IL,17041
"DuPage County, IL",DuPage,3.52,IL,17043
"Edgar County, IL",Edgar,3.499,IL,17045
"Edwards County, IL",Edwards,3.558,IL,17047
"Effingham County, IL",Effingham,3.352,IL,17049
"Fayette County, IL",Fayette,3.566,IL,17051
"Ford County, IL",Ford,3.558,IL,17053
"Franklin County, IL",Franklin,3.548,IL,17055
"Fulton County, IL",Fulton,3.399,IL,17057
"Gallatin County, IL",Gallatin,3.558,IL,17059
"Greene County, IL",Greene,3.452,IL,17061
"Grundy County, IL",Grundy,3.543,IL,17063
"Hamilton County, IL",Hamilton,3.334,IL,17065
"Hancock County, IL",Hancock,3.339,IL,17067
"Hardin County, IL",Hardin,3.558,IL,17069
"Henderson County, IL",Henderson,3.558,IL,17071
"Henry County, IL",Henry,3.539,IL,17073
"Iroquois County, IL",Iroquois,3.369,IL,17075
"Jackson County, IL",Jackson,3.501,IL,17077
"Jasper County, IL",Jasper,3.494,IL,17079
"Jefferson County, IL",Jefferson,3.464,IL,17081
"Jersey County, IL",Jersey,3.558,IL,17083
"Jo Daviess County, IL",Jo Daviess,3.558,IL,17085
"Johnson County, IL",Johnson,3.558,IL,17087
"Kane County, IL",Kane,3.535,IL,17089
"Kankakee County, IL",Kankakee,3.437,IL,17091
"Kendall County, IL",Kendall,3.372,IL,17093
"Knox County, IL",Knox,3.488,IL,17095
"LaSalle County, IL",LaSalle,3.477,IL,17099
"Lake County, IL",Lake,3.513,IL,17097
"Lawrence County, IL",Lawrence,3.558,IL,17101
"Lee County, IL",Lee,3.428,IL,17103
"Livingston County, IL",Livingston,3.397,IL,17105
"Logan County, IL",Logan,3.459,IL,17107
"Macon County, IL",Macon,3.461,IL,17115
"Macoupin County, IL",Macoupin,3.553,IL,17117
"Madison County, IL",Madison,3.392,IL,17119
"Marion County, IL",Marion,3.422,IL,17121
"Marshall County, IL",Marshall,3.586,IL,17123
"Mason County, IL",Mason,3.558,IL,17125
"Massac County, IL",Massac,3.499,IL,17127
"McDonough County, IL",McDonough,3.556,IL,17109
"McHenry County, IL",McHenry,3.511,IL,17111
"McLean County, IL",McLean,3.433,IL,17113
"Menard County, IL",Menard,3.558,IL,17129
"Mercer County, IL",Mercer,3.559,IL,17131
"Monroe County, IL",Monroe,3.508,IL,17133
"Montgomery County, IL",Montgomery,3.599,IL,17135
"Morgan County, IL",Morgan,3.231,IL,17137
"Moultrie County, IL",Moultrie,3.493,IL,17139
"Ogle County, IL",Ogle,3.444,IL,17141
"Peoria County, IL",Peoria,3.546,IL,17143
"Perry County, IL",Perry,3.599,IL,17145
"Piatt County, IL",Piatt,3.474,IL,17147
"Pike County, IL",Pike,3.558,IL,17149
"Pope County, IL",Pope,3.558,IL,17151
"Pulaski County, IL",Pulaski,3.558,IL,17153
"Putnam County, IL",Putnam,3.558,IL,17155
"Randolph County, IL",Randolph,3.601,IL,17157
"Richland County, IL",Richland,3.449,IL,17159
"Rock Island County, IL",Rock Island,3.529,IL,17161
"St. Clair County, IL",St. Clair,3.497,IL,17163
"Saline County, IL",Saline,3.308,IL,17165
"Sangamon County, IL",Sangamon,3.455,IL,17167
"Schuyler County, IL",Schuyler,3.558,IL,17169
"Scott County, IL",Scott,3.558,IL,17171
"Shelby County, IL",Shelby,3.469,IL,17173
"Stark County, IL",Stark,3.558,IL,17175
"Stephenson County, IL",Stephenson,3.496,IL,17177
"Tazewell County, IL",Tazewell,3.53,IL,17179
"Union County, IL",Union,3.599,IL,17181
"Vermilion County, IL",Vermilion,3.524,IL,17183
"Wabash County, IL",Wabash,3.558,IL,17185
"Warren County, IL",Warren,3.479,IL,17187
"Washington County, IL",Washington,3.376,IL,17189
"Wayne County, IL",Wayne,3.485,IL,17191
"White County, IL",White,3.424,IL,17195
"Whiteside County, IL",Whiteside,3.497,IL,17195
"Will County, IL",Will,3.507,IL,17199
"Williamson County, IL",Williamson,3.418,IL,17199
"Winnebago County, IL",Winnebago,3.431,IL,17201
"Woodford County, IL",Woodford,3.563,IL,17203
"Adams County, IN",Adams,3.29,IN,18001
"Allen County, IN",Allen,3.381,IN,18003
"Bartholomew County, IN",Bartholomew,3.387,IN,18005
"Benton County, IN",Benton,3.348,IN,18007
"Blackford County, IN",Blackford,3.409,IN,18009
"Boone County, IN",Boone,3.412,IN,18011
"Brown County, IN",Brown,3.348,IN,18013
"Carroll County, IN",Carroll,3.419,IN,18015
"Cass County, IN",Cass,3.437,IN,18017
"Clark County, IN",Clark,3.298,IN,18019
"Clay County, IN",Clay,3.367,IN,18021
"Clinton County, IN",Clinton,3.275,IN,18023
"Crawford County, IN",Crawford,3.348,IN,18025
"Daviess County, IN",Daviess,3.348,IN,18027
"DeKalb County, IN",DeKalb,3.399,IN,18033
"Dearborn County, IN",Dearborn,3.301,IN,18029
"Decatur County, IN",Decatur,3.459,IN,18031
"Delaware County, IN",Delaware,3.342,IN,18035
"Dubois County, IN",Dubois,3.385,IN,18037
"Elkhart County, IN",Elkhart,3.344,IN,18039
"Fayette County, IN",Fayette,3.389,IN,18041
"Floyd County, IN",Floyd,3.25,IN,18043
"Fountain County, IN",Fountain,3.344,IN,18045
"Franklin County, IN",Franklin,3.348,IN,18047
"Fulton County, IN",Fulton,3.418,IN,18049
"Gibson County, IN",Gibson,3.295,IN,18051
"Grant County, IN",Grant,3.339,IN,18053
"Greene County, IN",Greene,3.383,IN,18055
"Hamilton County, IN",Hamilton,3.417,IN,18057
"Hancock County, IN",Hancock,3.254,IN,18059
"Harrison County, IN",Harrison,3.301,IN,18061
"Hendricks County, IN",Hendricks,3.356,IN,18063
"Henry County, IN",Henry,3.246,IN,18065
"Howard County, IN",Howard,3.405,IN,18067
"Huntington County, IN",Huntington,3.349,IN,18069
"Jackson County, IN",Jackson,3.297,IN,18071
"Jasper County, IN",Jasper,3.471,IN,18073
"Jay County, IN",Jay,3.378,IN,18075
"Jefferson County, IN",Jefferson,3.342,IN,18077
"Jennings County, IN",Jennings,3.442,IN,18079
"Johnson County, IN",Johnson,3.36,IN,18081
"Knox County, IN",Knox,3.265,IN,18083
"Kosciusko County, IN",Kosciusko,3.356,IN,18085
"LaPorte County, IN",LaPorte,3.405,IN,18091
"Lagrange County, IN",Lagrange,3.348,IN,18087
"Lake County, IN",Lake,3.316,IN,18089
"Lawrence County, IN",Lawrence,3.301,IN,18093
"Madison County, IN",Madison,3.371,IN,18095
"Marion County, IN",Marion,3.348,IN,18097
"Marshall County, IN",Marshall,3.308,IN,18099
"Martin County, IN",Martin,3.348,IN,18101
"Miami County, IN",Miami,3.225,IN,18103
"Monroe County, IN",Monroe,3.422,IN,18105
"Montgomery County, IN",Montgomery,3.432,IN,18107
"Morgan County, IN",Morgan,3.353,IN,18109
"Newton County, IN",Newton,3.387,IN,18111
"Noble County, IN",Noble,3.367,IN,18113
"Ohio County, IN",Ohio,3.348,IN,18115
"Orange County, IN",Orange,3.279,IN,18117
"Owen County, IN",Owen,3.459,IN,18119
"Parke County, IN",Parke,3.289,IN,18121
"Perry County, IN",Perry,3.348,IN,18123
"Pike County, IN",Pike,3.348,IN,18125
"Porter County, IN",Porter,3.41,IN,18127
"Posey County, IN",Posey,3.348,IN,18129
"Pulaski County, IN",Pulaski,3.348,IN,18131
"Putnam County, IN",Putnam,3.378,IN,18133
"Randolph County, IN",Randolph,3.413,IN,18135
"Ripley County, IN",Ripley,3.348,IN,18137
"Rush County, IN",Rush,3.348,IN,18139
"Scott County, IN",Scott,3.333,IN,18143
"Shelby County, IN",Shelby,3.385,IN,18145
"Spencer County, IN",Spencer,3.348,IN,18147
"St. Joseph County, IN",St. Joseph,3.308,IN,18141
"Starke County, IN",Starke,3.348,IN,18149
"Steuben County, IN",Steuben,3.329,IN,18151
"Sullivan County, IN",Sullivan,3.399,IN,18153
"Switzerland County, IN",Switzerland,3.266,IN,18155
"Tippecanoe County, IN",Tippecanoe,3.352,IN,18157
"Tipton County, IN",Tipton,3.348,IN,18159
"Union County, IN",Union,3.419,IN,18161
"Vanderburgh County, IN",Vanderburgh,3.348,IN,18163
"Vermillion County, IN",Vermillion,3.407,IN,18165
"Vigo County, IN",Vigo,3.346,IN,18167
"Wabash County, IN",Wabash,3.301,IN,18169
"Warren County, IN",Warren,3.348,IN,18171
"Warrick County, IN",Warrick,3.333,IN,18173
"Washington County, IN",Washington,3.348,IN,18175
"Wayne County, IN",Wayne,3.275,IN,18177
"Wells County, IN",Wells,3.267,IN,18179
"White County, IN",White,3.324,IN,18181
"Whitley County, IN",Whitley,3.398,IN,18183
"Adair County, IA",Adair,3.184,IA,19001
"Adams County, IA",Adams,3.184,IA,19003
"Allamakee County, IA",Allamakee,3.184,IA,19005
"Appanoose County, IA",Appanoose,3.199,IA,19007
"Audubon County, IA",Audubon,3.184,IA,19009
"Benton County, IA",Benton,3.184,IA,19011
"Black Hawk County, IA",Black Hawk,3.054,IA,19013
"Boone County, IA",Boone,3.299,IA,19015
"Bremer County, IA",Bremer,3.249,IA,19017
"Buchanan County, IA",Buchanan,3.184,IA,19019
"Buena Vista County, IA",Buena Vista,3.129,IA,19021
"Butler County, IA",Butler,3.184,IA,19023
"Calhoun County, IA",Calhoun,3.184,IA,19025
"Carroll County, IA",Carroll,3.184,IA,19027
"Cass County, IA",Cass,3.194,IA,19029
"Cedar County, IA",Cedar,3.184,IA,19031
"Cerro Gordo County, IA",Cerro Gordo,3.037,IA,19033
"Cherokee County, IA",Cherokee,3.184,IA,19035
"Chickasaw County, IA",Chickasaw,3.184,IA,19037
"Clarke County, IA",Clarke,3.184,IA,19039
"Clay County, IA",Clay,3.499,IA,19043
"Clayton County, IA",Clayton,3.184,IA,19043
"Clinton County, IA",Clinton,3.188,IA,19045
"Crawford County, IA",Crawford,3.184,IA,19047
"Dallas County, IA",Dallas,3.184,IA,19049
"Davis County, IA",Davis,3.164,IA,19051
"Decatur County, IA",Decatur,3.184,IA,19053
"Delaware County, IA",Delaware,3.184,IA,19055
"Des Moines County, IA",Des Moines,3.184,IA,19057
"Dickinson County, IA",Dickinson,3.299,IA,19059
"Dubuque County, IA",Dubuque,3.295,IA,19061
"Emmet County, IA",Emmet,3.184,IA,19063
"Fayette County, IA",Fayette,3.199,IA,19065
"Floyd County, IA",Floyd,3.184,IA,19067
"Franklin County, IA",Franklin,3.259,IA,19069
"Fremont County, IA",Fremont,3.184,IA,19071
"Greene County, IA",Greene,3.184,IA,19073
"Grundy County, IA",Grundy,3.184,IA,19075
"Guthrie County, IA",Guthrie,3.184,IA,19077
"Hamilton County, IA",Hamilton,3.184,IA,19079
"Hancock County, IA",Hancock,3.184,IA,19081
"Hardin County, IA",Hardin,3.184,IA,19083
"Harrison County, IA",Harrison,3.114,IA,19085
"Henry County, IA",Henry,2.887,IA,19087
"Howard County, IA",Howard,3.184,IA,19089
"Humboldt County, IA",Humboldt,3.184,IA,19091
"Ida County, IA",Ida,3.184,IA,19093
"Iowa County, IA",Iowa,3.184,IA,19095
"Jackson County, IA",Jackson,3.184,IA,19097
"Jasper County, IA",Jasper,3.184,IA,19099
"Jefferson County, IA",Jefferson,3.184,IA,19101
"Johnson County, IA",Johnson,3.273,IA,19103
"Jones County, IA",Jones,3.184,IA,19105
"Keokuk County, IA",Keokuk,3.249,IA,19107
"Kossuth County, IA",Kossuth,3.184,IA,19109
"Lee County, IA",Lee,3.188,IA,19111
"Linn County, IA",Linn,3.146,IA,19113
"Louisa County, IA",Louisa,3.184,IA,19115
"Lucas County, IA",Lucas,3.184,IA,19117
"Lyon County, IA",Lyon,3.184,IA,19119
"Madison County, IA",Madison,3.184,IA,19121
"Mahaska County, IA",Mahaska,3.124,IA,19123
"Marion County, IA",Marion,3.184,IA,19125
"Marshall County, IA",Marshall,3.289,IA,19127
"Mills County, IA",Mills,3.079,IA,19129
"Mitchell County, IA",Mitchell,3.184,IA,19131
"Monona County, IA",Monona,3.184,IA,19133
"Monroe County, IA",Monroe,3.184,IA,19135
"Montgomery County, IA",Montgomery,3.184,IA,19137
"Muscatine County, IA",Muscatine,3.253,IA,19139
"O'brien County, IA",O'brien,3.184,IA,19141
"Osceola County, IA",Osceola,3.184,IA,19143
"Page County, IA",Page,3.184,IA,19145
"Palo Alto County, IA",Palo Alto,3.184,IA,19147
"Plymouth County, IA",Plymouth,3.184,IA,19149
"Pocahontas County, IA",Pocahontas,3.184,IA,19151
"Polk County, IA",Polk,3.063,IA,19153
"Pottawattamie County, IA",Pottawattamie,3.107,IA,19155
"Poweshiek County, IA",Poweshiek,3.184,IA,19157
"Ringgold County, IA",Ringgold,3.184,IA,19159
"Sac County, IA",Sac,3.184,IA,19161
"Scott County, IA",Scott,3.123,IA,19163
"Shelby County, IA",Shelby,3.184,IA,19165
"Sioux County, IA",Sioux,3.184,IA,19167
"Story County, IA",Story,3.228,IA,19169
"Tama County, IA",Tama,3.184,IA,19171
"Taylor County, IA",Taylor,3.184,IA,19173
"Union County, IA",Union,3.184,IA,19175
"Van Buren County, IA",Van Buren,3.184,IA,19177
"Wapello County, IA",Wapello,3.307,IA,19179
"Warren County, IA",Warren,3.184,IA,19181
"Washington County, IA",Washington,3.184,IA,19183
"Wayne County, IA",Wayne,3.184,IA,19185
"Webster County, IA",Webster,3.184,IA,19187
"Winnebago County, IA",Winnebago,3.184,IA,19189
"Winneshiek County, IA",Winneshiek,3.184,IA,19191
"Woodbury County, IA",Woodbury,3.241,IA,19193
"Worth County, IA",Worth,3.184,IA,19195
"Wright County, IA",Wright,3.184,IA,19197
"Allen County, KS",Allen,3.093,KS,20001
"Anderson County, KS",Anderson,3.093,KS,20003
"Atchison County, KS",Atchison,3.199,KS,20005
"Barber County, KS",Barber,3.099,KS,20007
"Barton County, KS",Barton,3.093,KS,20009
"Bourbon County, KS",Bourbon,3.093,KS,20011
"Brown County, KS",Brown,3.093,KS,20013
"Butler County, KS",Butler,3.068,KS,20015
"Chase County, KS",Chase,3.093,KS,20017
"Chautauqua County, KS",Chautauqua,3.093,KS,20019
"Cherokee County, KS",Cherokee,3.093,KS,20021
"Cheyenne County, KS",Cheyenne,3.093,KS,20023
"Clark County, KS",Clark,3.093,KS,20025
"Clay County, KS",Clay,3.093,KS,20027
"Cloud County, KS",Cloud,3.199,KS,20029
"Coffey County, KS",Coffey,3.093,KS,20031
"Comanche County, KS",Comanche,3.093,KS,20033
"Cowley County, KS",Cowley,3.093,KS,20035
"Crawford County, KS",Crawford,3.093,KS,20037
"Decatur County, KS",Decatur,3.093,KS,20039
"Dickinson County, KS",Dickinson,2.947,KS,20041
"Doniphan County, KS",Doniphan,3.093,KS,20043
"Douglas County, KS",Douglas,3.127,KS,20045
"Edwards County, KS",Edwards,3.093,KS,20047
"Elk County, KS",Elk,3.093,KS,20049
"Ellis County, KS",Ellis,3.093,KS,20051
"Ellsworth County, KS",Ellsworth,3.093,KS,20053
"Finney County, KS",Finney,3.032,KS,20055
"Ford County, KS",Ford,3.148,KS,20057
"Franklin County, KS",Franklin,3.169,KS,20059
"Geary County, KS",Geary,3.079,KS,20061
"Gove County, KS",Gove,3.026,KS,20063
"Graham County, KS",Graham,3.093,KS,20065
"Grant County, KS",Grant,3.093,KS,20067
"Gray County, KS",Gray,3.093,KS,20069
"Greeley County, KS",Greeley,3.093,KS,20071
"Greenwood County, KS",Greenwood,3.093,KS,20073
"Hamilton County, KS",Hamilton,3.093,KS,20075
"Harper County, KS",Harper,3.093,KS,20077
"Harvey County, KS",Harvey,2.937,KS,20079
"Haskell County, KS",Haskell,3.093,KS,20081
"Hodgeman County, KS",Hodgeman,3.093,KS,20083
"Jackson County, KS",Jackson,3.093,KS,20085
"Jefferson County, KS",Jefferson,3.093,KS,20087
"Jewell County, KS",Jewell,3.093,KS,20089
"Johnson County, KS",Johnson,3.054,KS,20091
"Kearny County, KS",Kearny,3.093,KS,20093
"Kingman County, KS",Kingman,3.093,KS,20095
"Kiowa County, KS",Kiowa,3.093,KS,20097
"Labette County, KS",Labette,3.193,KS,20099
"Lane County, KS",Lane,3.093,KS,20101
"Leavenworth County, KS",Leavenworth,2.877,KS,20103
"Lincoln County, KS",Lincoln,3.093,KS,20105
"Linn County, KS",Linn,3.093,KS,20107
"Logan County, KS",Logan,3.093,KS,20109
"Lyon County, KS",Lyon,3.066,KS,20111
"Marion County, KS",Marion,3.019,KS,20115
"Marshall County, KS",Marshall,3.093,KS,20117
"McPherson County, KS",McPherson,2.974,KS,20113
"Meade County, KS",Meade,3.093,KS,20119
"Miami County, KS",Miami,3.136,KS,20121
"Mitchell County, KS",Mitchell,3.093,KS,20123
"Montgomery County, KS",Montgomery,3.199,KS,20125
"Morris County, KS",Morris,3.093,KS,20127
"Morton County, KS",Morton,3.093,KS,20129
"Nemaha County, KS",Nemaha,3.093,KS,20131
"Neosho County, KS",Neosho,3.109,KS,20133
"Ness County, KS",Ness,3.093,KS,20135
"Norton County, KS",Norton,3.093,KS,20137
"Osage County, KS",Osage,3.093,KS,20139
"Osborne County, KS",Osborne,3.093,KS,20141
"Ottawa County, KS",Ottawa,3.093,KS,20143
"Pawnee County, KS",Pawnee,3.093,KS,20145
"Phillips County, KS",Phillips,3.093,KS,20147
"Pottawatomie County, KS",Pottawatomie,3.093,KS,20149
"Pratt County, KS",Pratt,3.174,KS,20151
"Rawlins County, KS",Rawlins,3.093,KS,20153
"Reno County, KS",Reno,3.065,KS,20155
"Republic County, KS",Republic,3.093,KS,20157
"Rice County, KS",Rice,3.093,KS,20159
"Riley County, KS",Riley,3.099,KS,20161
"Rooks County, KS",Rooks,3.093,KS,20163
"Rush County, KS",Rush,3.093,KS,20165
"Russell County, KS",Russell,3.093,KS,20167
"Saline County, KS",Saline,3.131,KS,20169
"Scott County, KS",Scott,3.093,KS,20171
"Sedgwick County, KS",Sedgwick,3.079,KS,20173
"Seward County, KS",Seward,3.119,KS,20175
"Shawnee County, KS",Shawnee,3.087,KS,20177
"Sheridan County, KS",Sheridan,3.093,KS,20179
"Sherman County, KS",Sherman,3.093,KS,20181
"Smith County, KS",Smith,3.093,KS,20183
"Stafford County, KS",Stafford,3.093,KS,20185
"Stanton County, KS",Stanton,3.093,KS,20187
"Stevens County, KS",Stevens,3.093,KS,20189
"Sumner County, KS",Sumner,2.999,KS,20191
"Thomas County, KS",Thomas,3.167,KS,20193
"Trego County, KS",Trego,3.081,KS,20195
"Wabaunsee County, KS",Wabaunsee,3.093,KS,20197
"Wallace County, KS",Wallace,3.093,KS,20199
"Washington County, KS",Washington,3.093,KS,20201
"Wichita County, KS",Wichita,3.093,KS,20203
"Wilson County, KS",Wilson,3.191,KS,20205
"Woodson County, KS",Woodson,3.093,KS,20207
"Wyandotte County, KS",Wyandotte,3.119,KS,20209
"Adair County, KY",Adair,3.024,KY,21001
"Allen County, KY",Allen,3.099,KY,21003
"Anderson County, KY",Anderson,3.131,KY,21005
"Ballard County, KY",Ballard,3.098,KY,21007
"Barren County, KY",Barren,3.083,KY,21009
"Bath County, KY",Bath,3.098,KY,21011
"Bell County, KY",Bell,3.042,KY,21013
"Boone County, KY",Boone,3.149,KY,21015
"Bourbon County, KY",Bourbon,3.073,KY,21017
"Boyd County, KY",Boyd,3.136,KY,21019
"Boyle County, KY",Boyle,2.932,KY,21021
"Bracken County, KY",Bracken,3.098,KY,21023
"Breathitt County, KY",Breathitt,3.098,KY,21025
"Breckinridge County, KY",Breckinridge,2.979,KY,21027
"Bullitt County, KY",Bullitt,3.207,KY,21029
"Butler County, KY",Butler,3.149,KY,21031
"Caldwell County, KY",Caldwell,3.098,KY,21033
"Calloway County, KY",Calloway,3.161,KY,21035
"Campbell County, KY",Campbell,3.166,KY,21037
"Carlisle County, KY",Carlisle,3.098,KY,21039
"Carroll County, KY",Carroll,3.098,KY,21041
"Carter County, KY",Carter,3.122,KY,21043
"Casey County, KY",Casey,3.098,KY,21045
"Christian County, KY",Christian,3.074,KY,21047
"Clark County, KY",Clark,3.083,KY,21049
"Clay County, KY",Clay,3.098,KY,21051
"Clinton County, KY",Clinton,3.132,KY,21053
"Crittenden County, KY",Crittenden,3.099,KY,21055
"Cumberland County, KY",Cumberland,3.098,KY,21057
"Daviess County, KY",Daviess,3.012,KY,21059
"Edmonson County, KY",Edmonson,3.166,KY,21061
"Elliott County, KY",Elliott,3.098,KY,21063
"Estill County, KY",Estill,3.098,KY,21065
"Fayette County, KY",Fayette,3.098,KY,21067
"Fleming County, KY",Fleming,3.098,KY,21069
"Floyd County, KY",Floyd,3.069,KY,21071
"Franklin County, KY",Franklin,3.09,KY,21073
"Fulton County, KY",Fulton,3.012,KY,21075
"Gallatin County, KY",Gallatin,3.098,KY,21077
"Garrard County, KY",Garrard,2.947,KY,21079
"Grant County, KY",Grant,3.035,KY,21081
"Graves County, KY",Graves,2.99,KY,21083
"Grayson County, KY",Grayson,2.966,KY,21085
"Green County, KY",Green,3.098,KY,21089
"Greenup County, KY",Greenup,3.107,KY,21089
"Hancock County, KY",Hancock,3.092,KY,21091
"Hardin County, KY",Hardin,2.917,KY,21093
"Harlan County, KY",Harlan,3.229,KY,21095
"Harrison County, KY",Harrison,3.112,KY,21097
"Hart County, KY",Hart,3.089,KY,21099
"Henderson County, KY",Henderson,2.855,KY,21101
"Henry County, KY",Henry,2.979,KY,21103
"Hickman County, KY",Hickman,3.098,KY,21105
"Hopkins County, KY",Hopkins,3.014,KY,21107
"Jackson County, KY",Jackson,3.098,KY,21109
"Jefferson County, KY",Jefferson,3.189,KY,21111
"Jessamine County, KY",Jessamine,2.953,KY,21113
"Johnson County, KY",Johnson,3.099,KY,21115
"Kenton County, KY",Kenton,3.186,KY,21117
"Knott County, KY",Knott,3.098,KY,21119
"Knox County, KY",Knox,2.999,KY,21121
"Larue County, KY",Larue,3.098,KY,21123
"Laurel County, KY",Laurel,3.02,KY,21125
"Lawrence County, KY",Lawrence,3.098,KY,21127
"Lee County, KY",Lee,3.299,KY,21129
"Leslie County, KY",Leslie,3.199,KY,21131
"Letcher County, KY",Letcher,3.098,KY,21133
"Lewis County, KY",Lewis,3.099,KY,21135
"Lincoln County, KY",Lincoln,2.967,KY,21137
"Livingston County, KY",Livingston,3.098,KY,21139
"Logan County, KY",Logan,2.95,KY,21141
"Lyon County, KY",Lyon,3.189,KY,21143
"Madison County, KY",Madison,3.11,KY,21151
"Magoffin County, KY",Magoffin,3.098,KY,21153
"Marion County, KY",Marion,2.889,KY,21155
"Marshall County, KY",Marshall,3.008,KY,21157
"Martin County, KY",Martin,3.098,KY,21159
"Mason County, KY",Mason,2.989,KY,21161
"McCracken County, KY",McCracken,3.05,KY,21145
"McCreary County, KY",McCreary,3.098,KY,21147
"McLean County, KY",McLean,3.098,KY,21149
"Meade County, KY",Meade,3.099,KY,21163
"Menifee County, KY",Menifee,3.098,KY,21165
"Mercer County, KY",Mercer,2.949,KY,21167
"Metcalfe County, KY",Metcalfe,3.098,KY,21169
"Monroe County, KY",Monroe,3.098,KY,21171
"Montgomery County, KY",Montgomery,2.984,KY,21173
"Morgan County, KY",Morgan,3.182,KY,21175
"Muhlenberg County, KY",Muhlenberg,3.149,KY,21177
"Nelson County, KY",Nelson,2.924,KY,21179
"Nicholas County, KY",Nicholas,3.098,KY,21181
"Ohio County, KY",Ohio,3.134,KY,21183
"Oldham County, KY",Oldham,3.051,KY,21185
"Owen County, KY",Owen,3.098,KY,21187
"Owsley County, KY",Owsley,3.098,KY,21189
"Pendleton County, KY",Pendleton,3.156,KY,21191
"Perry County, KY",Perry,3.098,KY,21193
"Pike County, KY",Pike,3.042,KY,21195
"Powell County, KY",Powell,3.098,KY,21197
"Pulaski County, KY",Pulaski,3.034,KY,21199
"Robertson County, KY",Robertson,3.098,KY,21201
"Rockcastle County, KY",Rockcastle,3.299,KY,21203
"Rowan County, KY",Rowan,3.098,KY,21205
"Russell County, KY",Russell,2.956,KY,21207
"Scott County, KY",Scott,3.16,KY,21209
"Shelby County, KY",Shelby,3.21,KY,21211
"Simpson County, KY",Simpson,2.936,KY,21213
"Spencer County, KY",Spencer,3.109,KY,21215
"Taylor County, KY",Taylor,2.93,KY,21217
"Todd County, KY",Todd,3.098,KY,21219
"Trigg County, KY",Trigg,3.218,KY,21221
"Trimble County, KY",Trimble,3.098,KY,21223
"Union County, KY",Union,3.116,KY,21225
"Warren County, KY",Warren,3.091,KY,21227
"Washington County, KY",Washington,3.098,KY,21229
"Wayne County, KY",Wayne,3.199,KY,21231
"Webster County, KY",Webster,3.098,KY,21233
"Whitley County, KY",Whitley,3.072,KY,21235
"Wolfe County, KY",Wolfe,3.098,KY,21237
"Woodford County, KY",Woodford,2.992,KY,21239
